header,dim_red,algo,params,train_fold,test_fold,train,test,confusion,mean_matrix
0,1,DT,{'max_depth': 3},"0.7686,0.7718,0.7707,0.7677,0.7673","0.7704,0.7567,0.7617,0.7725,0.7754",0.7692,0.7673,"[[600   0   0   0]
 [  0 413   0 187]
 [  0   0 600   0]
 [  0 364   0 236]]

[[598   2   0   0]
 [  0 392   0 208]
 [  0   0 600   0]
 [  0 374   0 226]]

[[600   0   0   0]
 [  0 414   0 186]
 [  0   0 600   0]
 [  0 386   0 214]]

[[600   0   0   0]
 [  1 422   0 177]
 [  0   0 600   0]
 [  1 367   0 232]]

[[600   0   0   0]
 [  0 425   0 175]
 [  0   0 600   0]
 [  0 364   0 236]]

","[[599.6 0.4 0.0 0.0]
 [0.2 413.2 0.0 186.6]
 [0.0 0.0 600.0 0.0]
 [0.2 371.0 0.0 228.8]]"
0,1,ADA,"{'base_estimator': DecisionTreeClassifier(max_depth=3), 'n_estimators': 100}","0.7976,0.8164,0.7967,0.8284,0.7861","0.7538,0.7567,0.7775,0.7471,0.7579",0.805,0.7586,"[[600   0   0   0]
 [  0 323   0 277]
 [  0   0 600   0]
 [  0 331   0 269]]

[[598   2   0   0]
 [  0 316   0 284]
 [  0   0 600   0]
 [  0 298   0 302]]

[[600   0   0   0]
 [  0 324   0 276]
 [  0   0 600   0]
 [  0 304   0 296]]

[[600   0   0   0]
 [  1 297   0 302]
 [  0   0 600   0]
 [  1 303   0 296]]

[[600   0   0   0]
 [  0 313   0 287]
 [  0   0 600   0]
 [  1 279   0 320]]

","[[599.6 0.4 0.0 0.0]
 [0.2 314.6 0.0 285.2]
 [0.0 0.0 600.0 0.0]
 [0.4 303.0 0.0 296.6]]"
0,1,GBoost,"{'max_depth': 3, 'n_estimators': 100}","0.924,0.923,0.9193,0.9222,0.923","0.7925,0.7683,0.7712,0.7792,0.7862",0.9223,0.7795,"[[600   0   0   0]
 [  0 340   0 260]
 [  0   0 600   0]
 [  0 234   0 366]]

[[598   1   0   1]
 [  0 334   0 266]
 [  0   0 600   0]
 [  0 282   0 318]]

[[600   0   0   0]
 [  0 316   0 284]
 [  0   0 600   0]
 [  0 256   0 344]]

[[600   0   0   0]
 [  1 315   0 284]
 [  0   0 600   0]
 [  1 271   0 328]]

[[600   0   0   0]
 [  0 332   0 268]
 [  0   0 600   0]
 [  0 252   0 348]]

","[[599.6 0.2 0.0 0.2]
 [0.2 327.4 0.0 272.4]
 [0.0 0.0 600.0 0.0]
 [0.2 259.0 0.0 340.8]]"
0,1,Rand_F,"{'max_depth': 3, 'n_estimators': 100}","0.8175,0.8146,0.8173,0.8265,0.8175","0.7583,0.745,0.7633,0.7475,0.7558",0.8187,0.754,"[[600   0   0   0]
 [  0 370   0 230]
 [  0   0 600   0]
 [  0 366   0 234]]

[[599   1   0   0]
 [  0 280   1 319]
 [  0   0 600   0]
 [  0 273   0 327]]

[[600   0   0   0]
 [  1 272   0 327]
 [  0   0 600   0]
 [  1 241   1 357]]

[[600   0   0   0]
 [  1 327   2 270]
 [  0   0 600   0]
 [  1 326   4 269]]

[[600   0   0   0]
 [  2 263   2 333]
 [  0   0 600   0]
 [  2 229   1 368]]

","[[599.8 0.2 0.0 0.0]
 [0.8 302.4 1.0 295.8]
 [0.0 0.0 600.0 0.0]
 [0.8 287.0 1.2 311.0]]"
0,1,SVM,"{'C': 10, 'degree': 1, 'gamma': 'scale', 'kernel': 'rbf'}","0.9994,0.9992,0.9986,0.9985,0.9991","0.76,0.7483,0.7604,0.7608,0.7608",0.999,0.7581,"[[600   0   0   0]
 [  0 310   0 290]
 [  0   0 600   0]
 [  0 292   0 308]]

[[598   1   0   1]
 [  0 316   0 284]
 [  0   1 599   0]
 [  0 316   0 284]]

[[600   0   0   0]
 [  0 330   0 270]
 [  0   0 600   0]
 [  0 308   0 292]]

[[600   0   0   0]
 [  0 303   0 297]
 [  0   0 600   0]
 [  0 265   0 335]]

[[600   0   0   0]
 [  0 313   0 287]
 [  0   1 599   0]
 [  0 284   0 316]]

","[[599.6 0.2 0.0 0.2]
 [0.0 314.4 0.0 285.6]
 [0.0 0.4 599.6 0.0]
 [0.0 293.0 0.0 307.0]]"
0,1,SGD,"{'alpha': 0.01, 'loss': 'perceptron', 'penalty': 'l2'}","0.7952,0.7962,0.7955,0.6834,0.7435","0.7558,0.7425,0.7496,0.6746,0.7438",0.7628,0.7333,"[[600   0   0   0]
 [216  33 296  55]
 [  0   0 600   0]
 [223  28 277  72]]

[[599   1   0   0]
 [  0 296   1 303]
 [  0   0 600   0]
 [  0 289   1 310]]

[[600   0   0   0]
 [533  23   0  44]
 [  0   0 600   0]
 [522  18   0  60]]

[[599   1   0   0]
 [  0 591   0   9]
 [  0  39 561   0]
 [  0 588   0  12]]

[[600   0   0   0]
 [  0 335   0 265]
 [  0  10 583   7]
 [  0 309   0 291]]

","[[599.6 0.4 0.0 0.0]
 [149.8 255.6 59.4 135.2]
 [0.0 9.8 588.8 1.4]
 [149.0 246.4 55.6 149.0]]"
0,0,DT,{'max_depth': 3},"1.0,1.0,1.0,1.0,1.0","1.0,0.9996,1.0,0.9996,1.0",1.0,0.9998,"[[600   0   0   0]
 [  0 599   1   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[599   1   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  1 599   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

","[[599.8 0.2 0.0 0.0]
 [0.2 599.6 0.2 0.0]
 [0.0 0.0 600.0 0.0]
 [0.0 0.0 0.0 600.0]]"
0,0,ADA,"{'base_estimator': DecisionTreeClassifier(max_depth=3), 'n_estimators': 100}","1.0,1.0,1.0,1.0,1.0","1.0,0.9996,1.0,0.9996,0.9996",1.0,0.9998,"[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[599   1   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  1 599   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  1   0 599   0]
 [  0   0   0 600]]

","[[599.8 0.2 0.0 0.0]
 [0.2 599.8 0.0 0.0]
 [0.2 0.0 599.8 0.0]
 [0.0 0.0 0.0 600.0]]"
0,0,GBoost,"{'max_depth': 1, 'n_estimators': 100}","1.0,1.0,1.0,1.0,1.0","1.0,0.9996,1.0,0.9996,1.0",1.0,0.9998,"[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[599   1   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  1 599   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

[[600   0   0   0]
 [  0 600   0   0]
 [  0   0 600   0]
 [  0   0   0 600]]

","[[599.8 0.2 0.0 0.0]
 [0.2 599.8 0.0 0.0]
 [0.0 0.0 600.0 0.0]
 [0.0 0.0 0.0 600.0]]"
0,0,Rand_F,"{'max_depth': 3, 'n_estimators': 100}","0.9435,0.8461,0.9278,0.992,0.8194","0.94,0.8404,0.9158,0.9908,0.8192",0.9058,0.9012,"[[600   0   0   0]
 [  0 500   0 100]
 [  0   0 600   0]
 [  0  36   0 564]]

[[599   0   1   0]
 [  0 496   3 101]
 [  0   0 600   0]
 [  0  12   2 586]]

[[600   0   0   0]
 [  0 403   1 196]
 [  0   0 600   0]
 [  0 245   0 355]]

[[600   0   0   0]
 [  0 531   3  66]
 [  0   0 600   0]
 [  0  30   0 570]]

[[600   0   0   0]
 [  0 502   1  97]
 [  0   0 600   0]
 [  0  21   0 579]]

","[[599.8 0.0 0.2 0.0]
 [0.0 486.4 1.6 112.0]
 [0.0 0.0 600.0 0.0]
 [0.0 68.8 0.4 530.8]]"
0,0,SVM,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}","1.0,1.0,1.0,1.0,1.0","0.9138,0.9021,0.8967,0.9146,0.9071",1.0,0.9069,"[[600   0   0   0]
 [  0 271   0 329]
 [  0   0 600   0]
 [  0 203   0 397]]

[[598   2   0   0]
 [  0 245   0 355]
 [  0   0 600   0]
 [  0 216   0 384]]

[[599   1   0   0]
 [  0 288   0 312]
 [  0   0 600   0]
 [  0 204   0 396]]

[[600   0   0   0]
 [  0 269   0 331]
 [  0   0 600   0]
 [  0 207   0 393]]

[[600   0   0   0]
 [  0 289   0 311]
 [  0   0 600   0]
 [  0 195   0 405]]

","[[599.4 0.6 0.0 0.0]
 [0.0 272.4 0.0 327.6]
 [0.0 0.0 600.0 0.0]
 [0.0 205.0 0.0 395.0]]"
0,0,SGD,"{'alpha': 0.01, 'loss': 'perceptron', 'penalty': 'l2'}","1.0,0.9979,0.9998,0.9994,1.0","0.8683,0.7629,0.8696,0.8117,0.895",0.9994,0.8415,"[[600   0   0   0]
 [  0 492   0 108]
 [  0   0 600   0]
 [  0 134   0 466]]

[[598   2   0   0]
 [  0 584   0  16]
 [  0   0 600   0]
 [  0 376   0 224]]

[[599   1   0   0]
 [  0 598   0   2]
 [  0   0 600   0]
 [  0 366   0 234]]

[[600   0   0   0]
 [  1 572   0  27]
 [  0   0 600   0]
 [  0 238   0 362]]

[[600   0   0   0]
 [  0 598   2   0]
 [  0   0 600   0]
 [  0 596   2   2]]

","[[599.4 0.6 0.0 0.0]
 [0.2 568.8 0.4 30.6]
 [0.0 0.0 600.0 0.0]
 [0.0 342.0 0.4 257.6]]"
